,id,motivation,share,year,category,overallMotivation,century,name
120,796,"""for the development of the metathesis method in organic synthesis""",3,2005,chemistry,,21,Richard R. Schrock
120,794,"""for the development of the metathesis method in organic synthesis""",3,2005,chemistry,,21,Yves Chauvin
128,782,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",1,2004,literature,,21,Elfriede Jelinek
130,778,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,2004,physics,,21,Frank Wilczek
126,781,"""for the discovery of ubiquitin-mediated protein degradation""",3,2004,chemistry,,21,Irwin Rose
131,774,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2,2004,medicine,,21,Richard Axel
130,776,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,2004,physics,,21,David J. Gross
129,783,"""for her contribution to sustainable development, democracy and peace""",1,2004,peace,,21,Wangari Maathai
131,775,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2,2004,medicine,,21,Linda B. Buck
127,786,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2,2004,economics,,21,Finn E. Kydland
126,779,"""for the discovery of ubiquitin-mediated protein degradation""",3,2004,chemistry,,21,Aaron Ciechanover
126,780,"""for the discovery of ubiquitin-mediated protein degradation""",3,2004,chemistry,,21,Avram Hershko
127,787,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2,2004,economics,,21,Edward C. Prescott
130,777,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,2004,physics,,21,H. David Politzer
137,764,"""for their discoveries concerning magnetic resonance imaging""",2,2003,medicine,,21,Paul C. Lauterbur
132,769,"""for the discovery of water channels""",2,2003,chemistry,"""for discoveries concerning channels in cell membranes""",21,Peter Agre
133,771,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",2,2003,economics,,21,Robert F. Engle III
134,763,"""who in innumerable guises portrays the surprising involvement of the outsider""",1,2003,literature,,21,J. M. Coetzee
135,773,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",1,2003,peace,,21,Shirin Ebadi
136,767,"""for pioneering contributions to the theory of superconductors and superfluids""",3,2003,physics,,21,Vitaly L. Ginzburg
136,766,"""for pioneering contributions to the theory of superconductors and superfluids""",3,2003,physics,,21,Alexei Abrikosov
133,772,"""for methods of analyzing economic time series with common trends (cointegration)""",2,2003,economics,,21,Clive W.J. Granger
136,768,"""for pioneering contributions to the theory of superconductors and superfluids""",3,2003,physics,,21,Anthony J. Leggett
132,770,"""for structural and mechanistic studies of ion channels""",2,2003,chemistry,"""for discoveries concerning channels in cell membranes""",21,Roderick MacKinnon
137,765,"""for their discoveries concerning magnetic resonance imaging""",2,2003,medicine,,21,Sir Peter Mansfield
143,751,"""for their discoveries concerning genetic regulation of organ development and programmed cell death""",3,2002,medicine,,21,H. Robert Horvitz
139,759,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",2,2002,economics,,21,Daniel Kahneman
143,750,"""for their discoveries concerning genetic regulation of organ development and programmed cell death""",3,2002,medicine,,21,Sydney Brenner
141,762,"""for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development""",1,2002,peace,,21,Jimmy Carter
140,761,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",1,2002,literature,,21,Imre Kertész
138,756,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4,2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",21,John B. Fenn
142,753,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",4,2002,physics,,21,Raymond Davis Jr.
139,760,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",2,2002,economics,,21,Vernon L. Smith
142,755,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources""",2,2002,physics,,21,Riccardo Giacconi
138,758,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",2,2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",21,Kurt Wüthrich
143,752,"""for their discoveries concerning genetic regulation of organ development and programmed cell death""",3,2002,medicine,,21,John E. Sulston
142,754,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",4,2002,physics,,21,Masatoshi Koshiba
138,757,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4,2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",21,Koichi Tanaka
148,738,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3,2001,physics,,21,Eric Cornell
144,742,"""for their work on chirally catalysed hydrogenation reactions""",4,2001,chemistry,,21,Ryoji Noyori
149,735,"""for their discoveries of key regulators of the cell cycle""",3,2001,medicine,,21,Leland Hartwell
148,739,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3,2001,physics,,21,Wolfgang Ketterle
145,745,"""for their analyses of markets with asymmetric information""",3,2001,economics,,21,A. Michael Spence
144,743,"""for his work on chirally catalysed oxidation reactions""",2,2001,chemistry,,21,Barry Sharpless
146,747,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",1,2001,literature,,21,V. S. Naipaul
147,749,"""for their work for a better organized and more peaceful world""",2,2001,peace,,21,Kofi Annan
145,744,"""for their analyses of markets with asymmetric information""",3,2001,economics,,21,George A. Akerlof
145,746,"""for their analyses of markets with asymmetric information""",3,2001,economics,,21,Joseph E. Stiglitz
148,740,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3,2001,physics,,21,Carl Wieman
149,736,"""for their discoveries of key regulators of the cell cycle""",3,2001,medicine,,21,Tim Hunt
147,748,"""for their work for a better organized and more peaceful world""",2,2001,peace,,21,
149,737,"""for their discoveries of key regulators of the cell cycle""",3,2001,medicine,,21,Sir Paul Nurse
144,741,"""for their work on chirally catalysed hydrogenation reactions""",4,2001,chemistry,,21,William Knowles
155,723,"""for their discoveries concerning signal transduction in the nervous system""",3,2000,medicine,,20,Paul Greengard
150,730,"""for the discovery and development of conductive polymers""",3,2000,chemistry,,20,Alan MacDiarmid
151,733,"""for his development of theory and methods for analyzing discrete choice""",2,2000,economics,,20,Daniel L. McFadden
150,731,"""for the discovery and development of conductive polymers""",3,2000,chemistry,,20,Hideki Shirakawa
155,722,"""for their discoveries concerning signal transduction in the nervous system""",3,2000,medicine,,20,Arvid Carlsson
154,727,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",4,2000,physics,"""for basic work on information and communication technology""",20,Herbert Kroemer
155,724,"""for their discoveries concerning signal transduction in the nervous system""",3,2000,medicine,,20,Eric Kandel
154,726,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",4,2000,physics,"""for basic work on information and communication technology""",20,Zhores Alferov
153,725,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular""",1,2000,peace,,20,Kim Dae-jung
152,734,"""for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""",1,2000,literature,,20,Xingjian Gao
151,732,"""for his development of theory and methods for analyzing selective samples""",2,2000,economics,,20,James J. Heckman
150,729,"""for the discovery and development of conductive polymers""",3,2000,chemistry,,20,Alan Heeger
154,728,"""for his part in the invention of the integrated circuit""",2,2000,physics,"""for basic work on information and communication technology""",20,Jack Kilby
156,292,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",1,1999,chemistry,,20,Ahmed Zewail
158,676,"""whose frolicsome black fables portray the forgotten face of history""",1,1999,literature,,20,Günter Grass
157,720,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",1,1999,economics,,20,Robert Mundell
161,461,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",1,1999,medicine,,20,Günter Blobel
160,158,"""for elucidating the quantum structure of electroweak interactions in physics""",2,1999,physics,,20,Gerardus 't Hooft
160,159,"""for elucidating the quantum structure of electroweak interactions in physics""",2,1999,physics,,20,Martinus J.G. Veltman
159,568,"""in recognition of the organisation's pioneering humanitarian work on several continents""",1,1999,peace,,20,
163,719,"""for his contributions to welfare economics""",1,1998,economics,,20,Amartya Sen
167,459,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",3,1998,medicine,,20,Louis J. Ignarro
162,291,"""for his development of computational methods in quantum chemistry""",2,1998,chemistry,,20,John Pople
167,460,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",3,1998,medicine,,20,Ferid Murad
165,567,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",2,1998,peace,,20,David Trimble
166,156,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",3,1998,physics,,20,Horst L. Störmer
166,157,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",3,1998,physics,,20,Daniel C. Tsui
167,458,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",3,1998,medicine,,20,Robert F. Furchgott
166,155,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",3,1998,physics,,20,Robert B. Laughlin
165,566,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",2,1998,peace,,20,John Hume
162,290,"""for his development of the density-functional theory""",2,1998,chemistry,,20,Walter Kohn
164,675,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""",1,1998,literature,,20,José Saramago
172,154,"""for development of methods to cool and trap atoms with laser light""",3,1997,physics,,20,William D. Phillips
173,457,"""for his discovery of Prions - a new biological principle of infection""",1,1997,medicine,,20,Stanley B. Prusiner
172,152,"""for development of methods to cool and trap atoms with laser light""",3,1997,physics,,20,Steven Chu
171,564,"""for their work for the banning and clearing of anti-personnel mines""",2,1997,peace,,20,
170,674,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",1,1997,literature,,20,Dario Fo
169,717,"""for a new method to determine the value of derivatives""",2,1997,economics,,20,Robert C. Merton
168,287,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",4,1997,chemistry,,20,Paul D. Boyer
168,288,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",4,1997,chemistry,,20,John E. Walker
169,718,"""for a new method to determine the value of derivatives""",2,1997,economics,,20,Myron Scholes
171,565,"""for their work for the banning and clearing of anti-personnel mines""",2,1997,peace,,20,Jody Williams
172,153,"""for development of methods to cool and trap atoms with laser light""",3,1997,physics,,20,Claude Cohen-Tannoudji
168,289,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",2,1997,chemistry,,20,Jens C. Skou
174,284,"""for their discovery of fullerenes""",3,1996,chemistry,,20,Robert F. Curl Jr.
177,562,"""for their work towards a just and peaceful solution to the conflict in East Timor""",2,1996,peace,,20,Carlos Filipe Ximenes Belo
174,285,"""for their discovery of fullerenes""",3,1996,chemistry,,20,Sir Harold Kroto
175,716,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",2,1996,economics,,20,William Vickrey
177,563,"""for their work towards a just and peaceful solution to the conflict in East Timor""",2,1996,peace,,20,José Ramos-Horta
178,150,"""for their discovery of superfluidity in helium-3""",3,1996,physics,,20,Douglas D. Osheroff
179,456,"""for their discoveries concerning the specificity of the cell mediated immune defence""",2,1996,medicine,,20,Rolf M. Zinkernagel
174,286,"""for their discovery of fullerenes""",3,1996,chemistry,,20,Richard E. Smalley
178,149,"""for their discovery of superfluidity in helium-3""",3,1996,physics,,20,David M. Lee
179,455,"""for their discoveries concerning the specificity of the cell mediated immune defence""",2,1996,medicine,,20,Peter C. Doherty
176,673,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",1,1996,literature,,20,Wisława Szymborska
178,151,"""for their discovery of superfluidity in helium-3""",3,1996,physics,,20,Robert C. Richardson
175,715,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",2,1996,economics,,20,James A. Mirrlees
180,283,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",3,1995,chemistry,,20,F. Sherwood Rowland
185,453,"""for their discoveries concerning the genetic control of early embryonic development""",3,1995,medicine,,20,Christiane Nüsslein-Volhard
184,148,"""for the detection of the neutrino""",2,1995,physics,"""for pioneering experimental contributions to lepton physics""",20,Frederick Reines
185,452,"""for their discoveries concerning the genetic control of early embryonic development""",3,1995,medicine,,20,Edward B. Lewis
180,282,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",3,1995,chemistry,,20,Mario J. Molina
185,454,"""for their discoveries concerning the genetic control of early embryonic development""",3,1995,medicine,,20,Eric F. Wieschaus
182,672,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""",1,1995,literature,,20,Seamus Heaney
180,281,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",3,1995,chemistry,,20,Paul J. Crutzen
183,560,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",2,1995,peace,,20,Joseph Rotblat
184,147,"""for the discovery of the tau lepton""",2,1995,physics,"""for pioneering experimental contributions to lepton physics""",20,Martin L. Perl
181,714,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",1,1995,economics,,20,Robert E. Lucas Jr.
188,671,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""",1,1994,literature,,20,Kenzaburo Oe
189,557,"""for their efforts to create peace in the Middle East""",3,1994,peace,,20,Yasser Arafat
191,450,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",2,1994,medicine,,20,Alfred G. Gilman
189,558,"""for their efforts to create peace in the Middle East""",3,1994,peace,,20,Shimon Peres
187,713,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",3,1994,economics,,20,Reinhard Selten
189,559,"""for their efforts to create peace in the Middle East""",3,1994,peace,,20,Yitzhak Rabin
190,145,"""for the development of neutron spectroscopy""",2,1994,physics,"""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter""",20,Bertram N. Brockhouse
190,146,"""for the development of the neutron diffraction technique""",2,1994,physics,"""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter""",20,Clifford G. Shull
187,712,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",3,1994,economics,,20,John F. Nash Jr.
186,280,"""for his contribution to carbocation chemistry""",1,1994,chemistry,,20,George A. Olah
191,451,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",2,1994,medicine,,20,Martin Rodbell
187,711,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",3,1994,economics,,20,John C. Harsanyi
192,279,"""for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",2,1993,chemistry,"""for contributions to the developments of methods within DNA-based chemistry""",20,Michael Smith
197,448,"""for their discoveries of split genes""",2,1993,medicine,,20,Richard J. Roberts
197,449,"""for their discoveries of split genes""",2,1993,medicine,,20,Phillip A. Sharp
196,144,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",2,1993,physics,,20,Joseph H. Taylor Jr.
195,556,"""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",2,1993,peace,,20,F.W. de Klerk
193,710,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",2,1993,economics,,20,Douglass C. North
195,555,"""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",2,1993,peace,,20,Nelson Mandela
196,143,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",2,1993,physics,,20,Russell A. Hulse
194,670,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""",1,1993,literature,,20,Toni Morrison
193,709,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",2,1993,economics,,20,Robert W. Fogel
192,278,"""for his invention of the polymerase chain reaction (PCR) method""",2,1993,chemistry,"""for contributions to the developments of methods within DNA-based chemistry""",20,Kary B. Mullis
198,277,"""for his contributions to the theory of electron transfer reactions in chemical systems""",1,1992,chemistry,,20,Rudolph A. Marcus
203,446,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",2,1992,medicine,,20,Edmond H. Fischer
199,708,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour""",1,1992,economics,,20,Gary Becker
202,142,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",1,1992,physics,,20,Georges Charpak
201,554,"""for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",1,1992,peace,,20,Rigoberta Menchú Tum
203,447,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",2,1992,medicine,,20,Edwin G. Krebs
200,669,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment""",1,1992,literature,,20,Derek Walcott
209,444,"""for their discoveries concerning the function of single ion channels in cells""",2,1991,medicine,,20,Erwin Neher
208,141,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers""",1,1991,physics,,20,Pierre-Gilles de Gennes
207,553,"""for her non-violent struggle for democracy and human rights""",1,1991,peace,,20,
206,668,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",1,1991,literature,,20,Nadine Gordimer
205,707,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",1,1991,economics,,20,Ronald H. Coase
204,276,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",1,1991,chemistry,,20,Richard R. Ernst
209,445,"""for their discoveries concerning the function of single ion channels in cells""",2,1991,medicine,,20,Bert Sakmann
215,443,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",2,1990,medicine,,20,E. Donnall Thomas
214,139,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",3,1990,physics,,20,Henry W. Kendall
211,705,"""for their pioneering work in the theory of financial economics""",3,1990,economics,,20,Merton H. Miller
210,275,"""for his development of the theory and methodology of organic synthesis""",1,1990,chemistry,,20,Elias James Corey
214,140,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",3,1990,physics,,20,Richard E. Taylor
211,706,"""for their pioneering work in the theory of financial economics""",3,1990,economics,,20,William F. Sharpe
211,704,"""for their pioneering work in the theory of financial economics""",3,1990,economics,,20,Harry M. Markowitz
213,552,"""for the leading role he played in the radical changes in East-West relations""",1,1990,peace,,20,Mikhail Gorbachev
214,138,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",3,1990,physics,,20,Jerome I. Friedman
215,442,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",2,1990,medicine,,20,Joseph E. Murray
212,667,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""",1,1990,literature,,20,Octavio Paz
221,441,"""for their discovery of the cellular origin of retroviral oncogenes""",2,1989,medicine,,20,Harold E. Varmus
220,136,"""for the development of the ion trap technique""",4,1989,physics,,20,Hans G. Dehmelt
216,274,"""for their discovery of catalytic properties of RNA""",2,1989,chemistry,,20,Thomas R. Cech
217,703,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",1,1989,economics,,20,Trygve Haavelmo
220,137,"""for the development of the ion trap technique""",4,1989,physics,,20,Wolfgang Paul
220,135,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",2,1989,physics,,20,Norman F. Ramsey
219,551,"""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people""",1,1989,peace,,20,Lhamo Thondup
218,666,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""",1,1989,literature,,20,Camilo José Cela
216,273,"""for their discovery of catalytic properties of RNA""",2,1989,chemistry,,20,Sidney Altman
221,440,"""for their discovery of the cellular origin of retroviral oncogenes""",2,1989,medicine,,20,J. Michael Bishop
222,272,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3,1988,chemistry,,20,Hartmut Michel
227,438,"""for their discoveries of important principles for drug treatment""",3,1988,medicine,,20,Gertrude B. Elion
222,270,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3,1988,chemistry,,20,Johann Deisenhofer
222,271,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3,1988,chemistry,,20,Robert Huber
227,439,"""for their discoveries of important principles for drug treatment""",3,1988,medicine,,20,George H. Hitchings
226,134,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",3,1988,physics,,20,Jack Steinberger
226,132,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",3,1988,physics,,20,Leon M. Lederman
223,702,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",1,1988,economics,,20,Maurice Allais
226,133,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",3,1988,physics,,20,Melvin Schwartz
225,550,"""for preventing armed clashes and creating conditions for negotiations""",1,1988,peace,,20,
227,437,"""for their discoveries of important principles for drug treatment""",3,1988,medicine,,20,Sir James W. Black
224,665,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",1,1988,literature,,20,Naguib Mahfouz
231,549,"""for his work for lasting peace in Central America""",1,1987,peace,,20,Oscar Arias Sánchez
233,436,"""for his discovery of the genetic principle for generation of antibody diversity""",1,1987,medicine,,20,Susumu Tonegawa
228,269,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3,1987,chemistry,,20,Charles J. Pedersen
232,130,"""for their important break-through in the discovery of superconductivity in ceramic materials""",2,1987,physics,,20,J. Georg Bednorz
228,268,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3,1987,chemistry,,20,Jean-Marie Lehn
230,664,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",1,1987,literature,,20,Joseph Brodsky
228,267,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3,1987,chemistry,,20,Donald J. Cram
232,131,"""for their important break-through in the discovery of superconductivity in ceramic materials""",2,1987,physics,,20,K. Alex Müller
229,701,"""for his contributions to the theory of economic growth""",1,1987,economics,,20,Robert M. Solow
239,435,"""for their discoveries of growth factors""",2,1986,medicine,,20,Rita Levi-Montalcini
236,663,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",1,1986,literature,,20,Wole Soyinka
234,266,"""for their contributions concerning the dynamics of chemical elementary processes""",3,1986,chemistry,,20,John C. Polanyi
234,264,"""for their contributions concerning the dynamics of chemical elementary processes""",3,1986,chemistry,,20,Dudley R. Herschbach
235,700,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",1,1986,economics,,20,James M. Buchanan Jr.
237,548,"""for being a messenger to mankind: his message is one of peace, atonement and dignity""",1,1986,peace,,20,Elie Wiesel
239,434,"""for their discoveries of growth factors""",2,1986,medicine,,20,Stanley Cohen
238,129,"""for their design of the scanning tunneling microscope""",4,1986,physics,,20,Heinrich Rohrer
238,128,"""for their design of the scanning tunneling microscope""",4,1986,physics,,20,Gerd Binnig
234,265,"""for their contributions concerning the dynamics of chemical elementary processes""",3,1986,chemistry,,20,Yuan T. Lee
238,127,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",2,1986,physics,,20,Ernst Ruska
245,432,"""for their discoveries concerning the regulation of cholesterol metabolism""",2,1985,medicine,,20,Michael S. Brown
244,126,"""for the discovery of the quantized Hall effect""",1,1985,physics,,20,Klaus von Klitzing
242,662,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",1,1985,literature,,20,Claude Simon
240,263,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",2,1985,chemistry,,20,Jerome Karle
245,433,"""for their discoveries concerning the regulation of cholesterol metabolism""",2,1985,medicine,,20,Joseph L. Goldstein
243,547,"""for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war""",1,1985,peace,,20,
240,262,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",2,1985,chemistry,,20,Herbert A. Hauptman
241,699,"""for his pioneering analyses of saving and of financial markets""",1,1985,economics,,20,Franco Modigliani
246,261,"""for his development of methodology for chemical synthesis on a solid matrix""",1,1984,chemistry,,20,Bruce Merrifield
247,698,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",1,1984,economics,,20,Richard Stone
248,661,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",1,1984,literature,,20,Jaroslav Seifert
250,125,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",2,1984,physics,,20,Simon van der Meer
251,430,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3,1984,medicine,,20,Georges J.F. Köhler
249,546,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa""",1,1984,peace,,20,Desmond Tutu
250,124,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",2,1984,physics,,20,Carlo Rubbia
251,429,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3,1984,medicine,,20,Niels K. Jerne
251,431,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3,1984,medicine,,20,César Milstein
257,428,"""for her discovery of mobile genetic elements""",1,1983,medicine,,20,Barbara McClintock
253,697,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",1,1983,economics,,20,Gerard Debreu
256,123,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",2,1983,physics,,20,William A. Fowler
256,122,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",2,1983,physics,,20,Subrahmanyan Chandrasekhar
254,660,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",1,1983,literature,,20,William Golding
252,260,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",1,1983,chemistry,,20,Henry Taube
255,545,"""for non-violent struggle for free trade unions and human rights in Poland""",1,1983,peace,,20,Lech Wałęsa
260,659,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",1,1982,literature,,20,Gabriel García Márquez
263,425,"""for their discoveries concerning prostaglandins and related biologically active substances""",3,1982,medicine,,20,Sune K. Bergström
263,426,"""for their discoveries concerning prostaglandins and related biologically active substances""",3,1982,medicine,,20,Bengt I. Samuelsson
261,544,"""for their work for disarmament and nuclear and weapon-free zones""",2,1982,peace,,20,Alfonso García Robles
258,259,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",1,1982,chemistry,,20,Aaron Klug
261,543,"""for their work for disarmament and nuclear and weapon-free zones""",2,1982,peace,,20,Alva Myrdal
263,427,"""for their discoveries concerning prostaglandins and related biologically active substances""",3,1982,medicine,,20,John R. Vane
262,121,"""for his theory for critical phenomena in connection with phase transitions""",1,1982,physics,,20,Kenneth G. Wilson
259,696,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",1,1982,economics,,20,George J. Stigler
